city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,78.53,79,75,13.8,broken clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,80.56,88,38,5.01,scattered clouds
2,Airai,TL,-8.9266,125.4092,58.33,87,61,1.19,broken clouds
3,Bengkulu,ID,-3.8004,102.2655,78.49,89,100,5.21,light rain
4,Rikitea,PF,-23.1203,-134.9692,76.8,72,3,16.22,clear sky
5,Hithadhoo,MV,-0.6,73.0833,83.62,76,99,16.69,overcast clouds
6,Neiafu,TO,-18.65,-173.9833,77.68,73,75,8.05,broken clouds
7,Dudinka,RU,69.4058,86.1778,5.05,99,47,3.53,scattered clouds
8,Roma,US,43.2128,-75.4557,75.34,23,0,10.36,clear sky
9,Opuwo,NA,-18.0607,13.84,68.02,30,0,7.23,clear sky
10,Pevek,RU,69.7008,170.3133,29.12,85,100,5.95,overcast clouds
11,Teahupoo,PF,-17.8333,-149.2667,78.76,72,19,17.38,few clouds
12,Sioux Lookout,CA,50.1001,-91.917,62.67,48,20,13.8,few clouds
13,Butaritari,KI,3.0707,172.7902,80.83,72,39,17.16,scattered clouds
14,Mitsamiouli,KM,-11.3847,43.2844,80.37,67,1,7.05,clear sky
15,Khatanga,RU,71.9667,102.5,20.73,98,100,3.2,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,44.26,70,20,5.75,few clouds
17,West Lafayette,US,40.4259,-86.9081,88.21,61,40,8.05,scattered clouds
18,Dikson,RU,73.5069,80.5464,25.7,93,100,27.45,light snow
19,Yellowknife,CA,62.456,-114.3525,32.56,74,100,8.05,light snow
20,Mataura,NZ,-46.1927,168.8643,36.97,97,18,2.73,few clouds
21,Thompson,CA,55.7435,-97.8558,62.76,42,100,8.05,overcast clouds
22,Touros,BR,-5.1989,-35.4608,76.93,86,100,5.41,overcast clouds
23,Kutulik,RU,53.3508,102.7839,32.76,51,61,5.59,broken clouds
24,Robertsport,LR,6.7533,-11.3686,81.93,82,99,11.25,overcast clouds
25,Georgetown,MY,5.4112,100.3354,83.95,93,20,3.44,thunderstorm
26,Alghero,IT,40.5589,8.3181,60.89,88,0,1.14,clear sky
27,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,93,100,14.97,overcast clouds
28,Lloydminster,CA,53.2835,-110.0016,46.62,46,75,17.27,broken clouds
29,Richmond Hill,CA,43.8711,-79.4372,73.38,22,81,9.51,broken clouds
30,Nikolskoye,RU,59.7035,30.7861,53.49,68,91,4.7,overcast clouds
31,Castro,BR,-24.7911,-50.0119,66.33,77,52,3.49,broken clouds
32,Poum,NC,-20.2333,164.0167,75.58,72,99,15.55,overcast clouds
33,Saint-Philippe,RE,-21.3585,55.7679,72.99,81,12,7.7,few clouds
34,Bandhi,PK,26.5861,68.3006,87.67,52,0,13.04,clear sky
35,Cape Town,ZA,-33.9258,18.4232,62.11,90,75,13.8,light rain
36,Havoysund,NO,70.9963,24.6622,35.83,94,100,16.82,overcast clouds
37,Pachino,IT,36.7186,15.0907,61.0,75,0,4.05,clear sky
38,Hasaki,JP,35.7333,140.8333,50.4,81,100,12.26,overcast clouds
39,Chuy,UY,-33.6971,-53.4616,63.05,84,100,4.92,overcast clouds
40,Bani Walid,LY,31.7566,13.9942,62.2,71,100,12.55,overcast clouds
41,Camopi,GF,3.1655,-52.3158,77.2,96,66,3.42,light rain
42,Saint-Ambroise,CA,48.5501,-71.3324,80.92,27,5,8.52,clear sky
43,Kimbe,PG,-5.5502,150.1429,76.14,93,100,3.11,overcast clouds
44,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,75,6.91,broken clouds
45,Severobaykalsk,RU,55.65,109.3167,25.5,76,3,6.04,clear sky
46,Virginia Beach,US,36.8529,-75.978,61.05,71,100,21.85,overcast clouds
47,Beringovskiy,RU,63.05,179.3167,36.61,88,99,7.96,overcast clouds
48,Vikulovo,RU,56.8167,70.6107,56.93,36,100,13.65,overcast clouds
49,Jamestown,US,42.097,-79.2353,76.64,13,0,5.75,clear sky
