City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,78.53,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
1,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
3,Bengkulu,ID,78.49,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
4,Rikitea,PF,76.8,clear sky,-23.1203,-134.9692,People ThankYou
5,Hithadhoo,MV,83.62,overcast clouds,-0.6,73.0833,Scoop Guest House
6,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
8,Roma,US,75.34,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
11,Teahupoo,PF,78.76,few clouds,-17.8333,-149.2667,Vanira Lodge
13,Butaritari,KI,80.83,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
14,Mitsamiouli,KM,80.37,clear sky,-11.3847,43.2844,Foyer ADM
17,West Lafayette,US,88.21,scattered clouds,40.4259,-86.9081,Hilton Garden Inn West Lafayette Wabash Landing
22,Touros,BR,76.93,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
24,Robertsport,LR,81.93,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
25,Georgetown,MY,83.95,thunderstorm,5.4112,100.3354,Cititel Penang
32,Poum,NC,75.58,overcast clouds,-20.2333,164.0167,
34,Bandhi,PK,87.67,clear sky,26.5861,68.3006,"A,M Malik sweet š Bakers"
41,Camopi,GF,77.2,light rain,3.1655,-52.3158,La pousada
42,Saint-Ambroise,CA,80.92,clear sky,48.5501,-71.3324,Motel Saint-Ambroise
43,Kimbe,PG,76.14,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
44,Arraial Do Cabo,BR,75.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
49,Jamestown,US,76.64,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
50,Aswan,EG,87.94,broken clouds,24.0934,32.907,Nuba Nile
51,Key Biscayne,US,85.01,scattered clouds,25.6937,-80.1628,"The Ritz-Carlton Key Biscayne, Miami"
53,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
55,Saint Anthony,US,78.85,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
58,Buraydah,SA,84.65,few clouds,26.326,43.975,Mövenpick Qassim
59,Namatanai,PG,80.69,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
61,Atuona,PF,79.12,overcast clouds,-9.8,-139.0333,Villa Enata
72,Palu,ID,77.09,moderate rain,-0.8917,119.8707,Hotel Santika Palu
74,Taganak,PH,77.14,overcast clouds,6.0833,118.3,Taganak
80,Riberalta,BO,82.6,broken clouds,-10.9833,-66.1,Hotel Colonial
82,Elizabethton,US,84.63,haze,36.3487,-82.2107,East Tennessee RV Park
84,Manicore,BR,89.55,overcast clouds,-5.8092,-61.3003,Hotel Durval
85,Bulata,PH,80.51,overcast clouds,9.8599,122.4016,Punta Bulata Resort & Spa
95,Kavaratti,IN,85.06,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
96,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
101,Hidalgotitlan,MX,84.22,few clouds,17.7833,-94.6333,
104,Singaraja,ID,80.35,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
105,Faanui,PF,81.64,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
106,Chakwal,PK,86.23,clear sky,32.9334,72.8585,Uet Boys Hostel
110,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
114,Kapaa,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
116,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
120,Albany,US,75.87,clear sky,42.6001,-73.9662,
125,Puerto Leguizamo,CO,82.0,scattered clouds,-0.1934,-74.7819,la casona de juancho
