city_id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-05-09 00:31:33,-53.15,-70.9167,44.71,76,40,31.07
1,Asau,RO,2022-05-09 00:36:27,46.4333,26.4,49.12,97,66,3.89
2,Roald,NO,2022-05-09 00:36:27,62.5833,6.1333,50.92,57,100,9.22
3,Tuatapere,NZ,2022-05-09 00:36:28,-46.1333,167.6833,54.0,91,100,6.35
4,Inongo,CD,2022-05-09 00:36:28,-1.95,18.2667,71.91,96,100,3.44
5,Vaini,TO,2022-05-09 00:36:29,-21.2,-175.2,78.96,73,40,18.21
6,Clyde River,CA,2022-05-09 00:36:29,70.4692,-68.5914,28.63,80,100,5.75
7,Hobart,AU,2022-05-09 00:36:29,-42.8794,147.3294,54.27,75,20,8.05
8,Notse,TG,2022-05-09 00:36:30,6.95,1.1667,76.59,92,63,4.21
9,Busselton,AU,2022-05-09 00:36:30,-33.65,115.3333,61.93,70,0,3.15
10,Kavaratti,IN,2022-05-09 00:36:31,10.5669,72.642,85.6,67,100,15.73
11,Walvis Bay,NA,2022-05-09 00:36:31,-22.9575,14.5053,54.55,47,0,2.3
12,Albany,US,2022-05-09 00:32:56,42.6001,-73.9662,61.45,39,90,4.97
13,Aswan,EG,2022-05-09 00:36:32,24.0934,32.907,81.7,14,0,3.44
14,Waingapu,ID,2022-05-09 00:36:32,-9.6567,120.2641,84.33,67,17,15.84
15,Bengkulu,ID,2022-05-09 00:34:43,-3.8004,102.2655,80.87,71,35,3.18
16,Hermanus,ZA,2022-05-09 00:36:33,-34.4187,19.2345,58.03,75,100,3.4
17,Ugoofaaru,MV,2022-05-09 00:36:33,5.6667,73.0,84.88,72,100,17.83
18,Hilo,US,2022-05-09 00:36:34,19.7297,-155.09,91.27,75,75,13.8
19,Yellowknife,CA,2022-05-09 00:36:34,62.456,-114.3525,27.12,80,100,29.93
20,Salalah,OM,2022-05-09 00:32:24,17.0151,54.0924,82.49,74,20,2.3
21,Jamestown,US,2022-05-09 00:36:35,42.097,-79.2353,62.24,23,0,4.61
22,Saldanha,ZA,2022-05-09 00:25:50,-33.0117,17.9442,51.85,86,100,6.02
23,Chapais,CA,2022-05-09 00:36:35,49.7834,-74.8492,55.18,84,13,3.15
24,Bluff,NZ,2022-05-09 00:36:36,-46.6,168.3333,56.8,86,100,6.44
25,Lebu,CL,2022-05-09 00:30:58,-37.6167,-73.65,55.74,97,100,2.8
26,Arraial Do Cabo,BR,2022-05-09 00:36:36,-22.9661,-42.0278,72.84,67,16,7.72
27,Valdivia,CL,2022-05-09 00:36:37,-39.8142,-73.2459,46.49,94,16,1.41
28,Port Hedland,AU,2022-05-09 00:36:38,-20.3167,118.5667,78.85,25,91,17.27
29,Sioux Lookout,CA,2022-05-09 00:34:08,50.1001,-91.917,44.67,93,100,6.91
30,Butaritari,KI,2022-05-09 00:33:24,3.0707,172.7902,81.82,79,6,18.28
31,Mataura,NZ,2022-05-09 00:36:38,-46.1927,168.8643,56.48,89,83,3.69
32,Cape Town,ZA,2022-05-09 00:36:09,-33.9258,18.4232,56.12,88,97,2.3
33,Lebork,PL,2022-05-09 00:36:39,54.5392,17.7501,42.35,73,9,6.42
34,Inta,RU,2022-05-09 00:36:40,66.0317,60.1659,45.81,76,61,14.18
35,Portland,US,2022-05-09 00:31:44,45.5234,-122.6762,52.52,79,75,5.75
36,Kirakira,SB,2022-05-09 00:29:33,-10.4544,161.9205,84.97,73,77,13.09
37,Mahebourg,MU,2022-05-09 00:34:13,-20.4081,57.7,72.25,94,40,1.14
38,Chokurdakh,RU,2022-05-09 00:36:41,70.6333,147.9167,21.04,86,90,10.6
39,Provideniya,RU,2022-05-09 00:36:41,64.3833,-173.3,33.37,95,100,10.22
40,Paptalaya,HN,2022-05-09 00:36:42,15.5,-84.3167,81.21,76,1,9.26
41,Muzhi,RU,2022-05-09 00:34:55,65.3667,64.6667,38.32,92,82,7.78
42,Pontianak,ID,2022-05-09 00:29:39,-0.0333,109.3333,75.18,94,20,5.75
43,Shaunavon,CA,2022-05-09 00:36:42,49.6501,-108.4181,58.78,38,100,6.26
44,Bredasdorp,ZA,2022-05-09 00:36:56,-34.5322,20.0403,55.6,80,100,4.45
45,New Norfolk,AU,2022-05-09 00:37:43,-42.7826,147.0587,53.92,62,14,2.91
